,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正解,解説,スライド,章
17,PWM制御で電圧を変化させる原理として正しい記述はどれか。,電圧の最大値（振幅）を変化させる,周波数を変化させる,電圧のON/OFFの比率を変化させる,電流の向きを高速で反転させる,3,一定電圧のON時間を調整することで、実効的な電圧を制御します。,7. PWM電圧制御,8
18,モータドライバICの説明として不適切なものはどれか。,Hブリッジ回路などを内蔵している,回路をコンパクトにできる,どのメーカーのモータでも共通で使える,過電流保護機能を持つものがある,3,モータの種類や定格に合わせて専用のドライバICを選定する必要があります。,8. ドライバIC,8
19,モータドライバICが内蔵していることがある保護機能はどれか。,防水保護,過電流保護・加熱保護,耐衝撃保護,防塵保護,2,電流の流しすぎや発熱による破壊を防ぐ機能が内蔵されることがあります。,8. ドライバIC,8
20,サーボ機構とは、目標値と何からの信号を比較して制御するシステムか。,電源電圧,タイマー,センサからのフィードバック信号,外部スイッチ,3,センサで現在の状態を検出し、目標値との差を埋めるよう制御します。,9. サーボ機構,8
21,サーボモータの構造図に含まれている、位置検出用の部品はどれか。,コンデンサ,エンコーダ,ギアボックス,バッテリー,2,回転位置を検出するためにエンコーダやポテンショメータが内蔵されています。,9. サーボ機構,8
22,DCサーボモータの特徴として正しいものはどれか。,交流電源を使用する,制御装置が比較的簡単である,過負荷に強くメンテナンスフリーである,構造が非常に複雑である,2,DCサーボは直流駆動で、制御が比較的容易なのが特徴です。,10. サーボ種類,8
23,ACサーボモータの特徴として正しいものはどれか。,直流電源を使用する,ブラシがあるため摩耗しやすい,過負荷に強く、故障が少ない,安価でホビー用によく使われる,3,ACサーボはブラシレス構造が多く、産業用などで信頼性が高いのが特徴です。,10. サーボ種類,8
24,ステッピングモータの回転角度は何によって決まるか。,電圧の大きさ,電流の大きさ,入力パルスの数,パルスの周波数,3,パルス1つにつき一定角度回るため、総パルス数で角度が決まります。,11. ステッピング,8
25,ステッピングモータの回転速度は何によって決まるか。,電圧の大きさ,電流の大きさ,パルスの数,パルスの周波数（速さ）,4,パルスを送る間隔（周波数）で速度が決まります。,11. ステッピング,8
26,ステッピングモータの最大の利点である制御方式はどれか。,複雑なフィードバック制御,センサ不要の開ループ制御,人間による手動制御,AIによる学習制御,2,位置センサなし（オープンループ）で正確な位置決めが可能です。,11. ステッピング,8
27,ステッピングモータの使用例として資料に挙げられていないものはどれか。,3Dプリンタ,NC加工機,小型車輪型ロボット,電車の駆動モータ,4,電車のような大型・大出力用途ではなく、精密な位置決め用途が主です。,12. ステッピング例,8
28,自動車においてステッピングモータが使われる箇所はどこか。,ワイパーの駆動,エンジンの始動,スピードメータやヘッドライトの制御,ドアロックの開閉,3,メータの針の指示や、ヘッドライトの光軸調整などに使われます。,12. ステッピング例,8
29,ソレノイドの動作原理として正しいものはどれか。,電流で回転運動を生み出す,電磁力でプランジャ（鉄心）を直線移動させる,電圧で伸縮する圧電素子を使う,熱で形状変化する合金を使う,2,コイルの電磁力で鉄心を引き込む直線運動アクチュエータです。,13. ソレノイド,8
30,ソレノイドの動作特性に関する記述として正しいものはどれか。,電流値で移動速度を自由に調整できる,通電によって瞬間的に動作し、速度調整はできない,一度動くと電源を切っても戻らない,常に振動しながら動作する,2,基本的にON/OFFの2値動作であり、中間の速度制御はできません。,13. ソレノイド,8
31,ソレノイドが「安全性が高い」とされる理由は何か。,電圧が低いから,復帰バネにより電源オフで自動的に元の位置に戻るから,動作音が静かだから,プラスチック製だから,2,電源断時にバネの力で初期位置に戻る（フェイルセーフ）特性があります。,13. ソレノイド,8
32,ソレノイド駆動回路において、保護のために接続すべき素子はどれか。,コンデンサ,抵抗,フリーホイールダイオード,ヒューズ,3,コイルのOFF時に発生するサージ電圧を逃がすためにダイオードが必要です。,14. ソレノイド回路,8
33,フリーホイールダイオードを選定する際の電流値の条件はどれか。,ソレノイドに流れる電流値以上,ソレノイド電流の半分程度,電源電流の2倍以上,1A固定,1,遮断時にソレノイドと同じ大きさの電流がダイオードに流れるため、それ以上の定格が必要です。,14. ソレノイド回路,8
34,サージ電圧が発生する原因となる回路操作はどれか。,スイッチをONにした瞬間,スイッチをOFFにした（電流を遮断した）瞬間,電圧を徐々に下げた時,常に発生している,2,コイルは電流の変化を妨げる性質があり、急にOFFにすると高電圧（サージ）が発生します。,14. ソレノイド回路,8
35,自動販売機におけるソレノイドの用途はどれか。,飲み物の冷却,ボタンの点灯,コインメック（硬貨の選別・送り出し）,液晶表示,3,硬貨の選別や払い出しのゲート操作に使われます。,15. ソレノイド例,8
36,次のうち、ソレノイドの使用例として不適切なものはどれか。,電気錠,自動車の燃料噴射バルブ,電磁バルブの制御,ドローンのプロペラ駆動,4,プロペラ駆動は連続回転が必要なため、通常はモータが使われます。,15. ソレノイド例,8
37,センサに関する記述として、資料に基づき正しいものはどれか。,センサ素子が出力する信号は最初からデジタル信号である,センサ素子自体の信号はアナログだが、A-D変換機能を含んだモジュールはデジタル信号を扱う,すべてのセンサはマイコンなしで直接アクチュエータを動かせる,センサは信号を出力せず、電力を出力する,2,資料には「センサ素子自体の信号はアナログ信号」「センサ部＋A-D変換...はデジタル信号を扱う」とあります。,5. センサ信号,9
38,Arduinoなどのマイコンが他のデバイスと通信を行う方法として、資料に記載されていないものはどれか。,USB,UART,I2C,HDMI,4,資料のリストには「デジタル/アナログI/O、USB、UART、I2C、SPI」があり、HDMIはPCの例として別枠で挙げられています。,5. 通信手段,9
39,ロボットや電子工作における基本的な情報の流れとして、資料で提示されている順序はどれか。,アクチュエータ → マイコン → センサ,センサ → アクチュエータ → マイコン,センサ → マイコン（処理） → アクチュエータ,マイコン → センサ → アクチュエータ,3,「センサから情報を受け取り、マイコンで処理をし、アクチュエータを操作する」が基本動作です。,5. 基礎フロー,9
40,ロボットや電子工作における基本的な情報の流れとして正しいものはどれか。,アクチュエータ→処理→センサ,センサ→処理→アクチュエータ,処理→センサ→アクチュエータ,センサ→アクチュエータ→処理,2,「センサから情報を受け取り、マイコンで処理をし、アクチュエータを操作する」が基本動作です。,5. 通信の重要性,9
41,センサ素子自体が最初に出力する信号の形式として一般的なものはどれか。,デジタル信号,アナログ信号,パケット信号,PWM信号,2,センサ素子自体の信号はアナログ信号であり、A-D変換を経てデジタル信号として扱われます。,5. センサの信号,9
42,UART（非同期シリアル通信）に必要な最小限の信号線構成はどれか（GNDを除く）。,1本（DATA）,2本（RXとTX）,"3本（SCL, SDA, CS）","4本（SCLK, MOSI, MISO, CS）",2,受信(RX)と送信(TX)の2本を互い違いに接続して通信します。,6. UART通信,9
43,UART通信の特徴として正しい記述はどれか。,クロック信号に同期してデータを送る,マスタと複数のスレーブで構成される,通信速度（ボーレート）をデバイス間で設定して合わせる,最も高速な通信規格である,3,クロック信号線がない非同期通信のため、あらかじめ通信速度（ボーレート）を合わせておく必要があります。,6. UART通信,9
44,SPI通信の信号線に含まれないものはどれか。,SCLK（クロック）,MOSI（マスタ出力・スレーブ入力）,MISO（マスタ入力・スレーブ出力）,SDA（データ）,4,SDAはI2C通信で使用される信号線の名称です。SPIではMOSI/MISOを使います。,6. SPI通信,9
45,SPI通信の接続形態の特徴として正しいものはどれか。,1対1通信専用である,1つのマスタと複数のスレーブで通信可能,複数のマスタが存在できる,無線通信の一種である,2,CS（チップセレクト）信号等を使って、1つのマスタが複数のスレーブを制御できます。,6. SPI通信,9
46,I2C通信で使用する2本の信号線の名称はどれか。,RXとTX,SCLとSDA,D+とD-,DINとDOUT,2,SCL（クロック）とSDA（データ）の2本で通信を行います。,7. I2C通信,9
47,I2C通信において、基板上の信号線に対して行う必要がある処理はどれか。,プルアップ抵抗を取り付ける,プルダウン抵抗を取り付ける,コンデンサを直列に入れる,コイルを並列に入れる,1,I2Cバスはオープンコレクタ（オープンドレイン）駆動のため、信号線を電源電圧にプルアップする必要があります。,7. I2C通信,9
48,I2C通信で通信相手を特定するためにスレーブに割り振られているものは何か。,IPアドレス,MACアドレス,スレーブアドレス,物理ポート番号,3,各デバイスに割り当てられたアドレスを指定して通信を行います。,7. I2C通信,9
49,イーサネット（有線LAN）の説明として正しいものはどれか。,無線通信の規格である,近距離のICタグ読み取りに使われる,インターネット接続や自動車のECU間通信に使われる,赤外線リモコンの規格である,3,PCのネット接続のほか、近年は自動車のECU通信（CANの代替・補完）にも使われ始めています。,7. イーサネット,9
50,無線通信の欠点として資料に挙げられているものはどれか。,配線が複雑になる,データが垂れ流しのためセキュリティに懸念がある,通信距離が有線より常に長い,複数の機器を接続できない,2,電波は空間を伝わるため傍受のリスク（セキュリティ）や、他の電波源からの干渉を受けやすいという欠点があります。,8. 無線通信,9
51,通信距離による分類で、最も到達距離が短い（10cm程度）規格はどれか。,Wi-Fi,Bluetooth,NFC,WiMAX,3,NFC（Near Field Communication）は近距離無線通信です。,8. 無線通信の分類,9
52,Wi-Fiの規格（IEEE802.11）で使用される主な周波数帯域はどれか。,100MHz帯,800MHz帯,2.4GHz帯および5GHz帯,10GHz帯,3,規格により異なりますが、主に2.4GHzと5GHzが使用されます。,8. Wi-Fi,9
53,Bluetooth Low Energy (BLE) の特徴として正しいものはどれか。,従来のBluetoothより通信速度が非常に速い,従来のBluetoothより消費電力を少なくしている,通信距離がWi-Fiより長い,動画のストリーミング再生に適している,2,ボタン電池等で長期間駆動できるよう、省電力化に特化した規格です。,9. Bluetooth,9
54,ZigBeeの特徴として誤っているものはどれか。,接続可能なデバイス数が多い,消費電力が少ない,センサネットワークに適している,動画転送などの大容量通信に適している,4,通信速度は遅く通信量も少ないため、動画などの大容量通信には不向きです。,9. ZigBee,9
55,テレビやエアコンのリモコンに使われている通信方式はどれか。,Bluetooth,ZigBee,赤外線通信,Wi-Fi,3,赤外線を利用した光無線通信で、障害物があると通信できません。,9. 光無線通信,9
56,RFID（ICタグなど）の仕組みとして正しい記述はどれか。,タグに電池が必須である,リーダからの電波でタグに電力が発生し、データを送り返す,赤外線でバーコードを読み取る,磁気テープを接触させて読み取る,2,電磁誘導や電波により非接触で電力供給とデータ通信を行います。,9. RFID,9
57,データ通信の要求を出してから応答が来るまで待ち続ける通信方式はどれか。,同期通信,非同期通信,全二重通信,パラレル通信,1,クロック等のタイミングに合わせて処理を行い、応答を待つのが同期通信の特徴です。,10. 同期/非同期,09付
58,トランシーバーのように、送受信を切り替えて行い、同時にはできない通信方式はどれか。,全二重通信,半二重通信,シンプレックス通信,マルチプレックス通信,2,通信路を共有するため、同時に送受信ができないのが半二重通信です。,10. 全二重/半二重,09付
59,「0/1」「ON/OFF」など2値しかとらない離散的な信号を何と呼ぶか。,アナログ信号,デジタル信号,パルス信号,連続信号,2,デジタル信号の定義です。,10. 信号の種類,09付
60,複数の信号線を用いてデータを一度に複数ビット伝送する「パラレル通信」の欠点はどれか。,通信速度が遅い,通信量が少ない,配線が多くなり、同期をとるのが難しい,ノイズに強い,3,信号線が増えるため配線が難しく、各線のタイミング（同期）のずれが問題になりやすいです。,11. パラレル通信,09付
61,「シリアル通信」の利点として正しいものはどれか。,配線が少なく、ノイズに強い,一度に送れるデータ量がパラレルより多い,クロックずれが絶対に発生しない,アナログ信号をそのまま送れる,1,少ない信号線で通信でき、差動伝送などを使えばノイズにも強くなります。,11. シリアル通信,09付
62,かつてパソコンとモデムの接続などに広く使われていたシリアル通信規格はどれか。,RS232C,I2C,SPI,CAN,1,古くからの標準的なシリアル通信規格ですが、現在はUSB等に置き換わりつつあります。,12. RS232C,09付
63,RS485規格の特徴として正しいものはどれか。,1対1通信専用である,短距離通信専用である,長距離通信が可能で、マルチドロップ接続ができる,電圧が低くノイズに弱い,3,産業用やロボットサーボに使われ、ノイズに強く長距離・多接続が可能です。,12. RS485,09付
64,USBの特徴である「電源を入れたまま抜き差しできる機能」を何と呼ぶか。,プラグアンドプレイ,ホットプラグ,バスパワー,マルチドロップ,2,通電中の脱着に対応することをホットプラグと呼びます。（プラグアンドプレイは自動設定機能）,12. USB,09付
65,電子回路において、一般的に「直流電源」が使用される主な理由は何か。,電圧が高いから,半導体が直流で動作するため,送電ロスが少ないから,安全性が高いから,2,電子回路で使用される半導体素子は直流で動作するためです。,13. 電源基礎,10
66,ACアダプタの機能として正しいものはどれか。,直流(DC)を交流(AC)に変換する,交流(AC)を直流(DC)に変換する,電圧を昇圧（高く）する,周波数を変更する,2,商用電源（コンセントのAC）を回路用のDCに変換します。,13. ACアダプタ,10
67,ACアダプタのプラグ極性として、最も一般的に用いられているものはどれか。,センタープラス（内側が＋）,センターマイナス（内側が－）,センターグランド,極性なし（交流）,1,「極性はセンタープラスが多い」と記載されています。,13. ACアダプタ,10
68,ACアダプタを選定する際、適合を確認すべき項目として不適切なものはどれか。,プラグの極性,プラグの内径・外径,定格電圧・電流,ケーブルの色,4,色は機能に関係ありません。プラグ径（2.1φなど）や定格は必須確認項目です。,13. ACアダプタ,10
69,実験用の「直流安定化電源」と「電池」の違いとして正しい記述はどれか。,安定化電源は電圧・電流が変動しやすい,安定化電源は設定した出力を安定して供給できる,電池の方が長時間安定して電圧を維持できる,安定化電源は交流を出力する,2,電池は使用に伴い電圧が低下しますが、安定化電源は安定供給が可能です。,13. 安定化電源,10
70,直流安定化電源の使い方として、資料の手順に含まれていない操作はどれか。,出力電圧・電流の設定を行う,出力ボタンを押して電気を出力する,回路と接続する,電池を内部に挿入する,4,商用電源で動く装置であり、電池挿入の手順はありません。,13. 安定化電源,10
71,DCDCコンバータの役割として正しいものはどれか。,直流電圧を別の値の直流電圧に変換する,直流を交流に変換する,交流を直流に変換する,アナログ信号をデジタル信号に変換する,1,直流(DC)から直流(DC)への電圧変換を行います。,14. DCDCコンバータ,10
72,DCDCコンバータ（電源IC）の2つの大きな分類はどれか。,アナログ式とデジタル式,リニアレギュレータとスイッチングレギュレータ,昇圧型と降圧型のみ,同期式と非同期式のみ,2,変換方式によりリニアとスイッチングに大別されます。,14. レギュレータ分類,10
73,3端子レギュレータ（リニアレギュレータ）の特徴として誤っているものはどれか。,ノイズの発生が少ない,回路が単純で低価格である,発熱しやすい,入力電圧より高い電圧を出力できる（昇圧可能）,4,リニアレギュレータは降圧のみで、入力電圧が出力より高い必要があります。,14. リニアレギュレータ,10
74,3端子レギュレータが持つ3つの端子の名称の組み合わせとして正しいものはどれか。,入力・出力・GND,電源・信号・GND,ベース・コレクタ・エミッタ,ゲート・ドレイン・ソース,1,入力(Input)、出力(Output)、接地(GND)の3本です。,14. リニアレギュレータ,10
75,スイッチングレギュレータの仕組みに関する記述として正しいものはどれか。,抵抗で余分な電力を熱として捨てる,PWMのように高速なON/OFF制御で電圧を調整する,常に一定の電流を流し続ける,入力と出力が完全に絶縁されている,2,スイッチ素子のON/OFF（PWM制御等）を利用して電圧変換を行います。,14. スイッチング,10
76,スイッチングレギュレータがリニアレギュレータより優れている点はどれか。,ノイズが全くない,回路が非常に単純である,効率が良く、昇圧や反転も可能である,価格が圧倒的に安い,3,効率が高く、コイルを用いることで昇圧や極性反転も可能です（ただしノイズは多め）。,14. スイッチング,10
77,「一次電池」の説明として正しいものはどれか。,充電して繰り返し使える,放電しきると再利用できない（使い切り）,鉛蓄電池がこれにあたる,電圧が常に一定である,2,一次電池は使い捨てです。,15. 電池の分類,10
78,次のうち、一次電池に分類されるものはどれか。,リチウムイオン電池,ニッケル水素電池,アルカリマンガン乾電池,鉛蓄電池,3,アルカリ乾電池やマンガン乾電池は一次電池です。,15. 一次電池,10
79,「二次電池」の特徴として正しいものはどれか。,一度使うと捨てなければならない,充電することで繰り返し使用可能である,化学反応を利用しない物理電池である,マンガン電池が代表例である,2,充電と放電の両方が可能です。,15. 二次電池,10
80,自動車のバッテリーなどに使われる二次電池はどれか。,鉛蓄電池,アルカリ電池,空気亜鉛電池,マンガン電池,1,鉛蓄電池は安価で大電流が出せるため車のバッテリーに使われます。,15. 二次電池の種類,10
81,一般的なアルカリ乾電池とニッケル水素電池（充電池）の公称電圧の組み合わせとして正しいものはどれか。,アルカリ: 1.5V / ニッケル水素: 1.2V,アルカリ: 1.2V / ニッケル水素: 1.5V,アルカリ: 3.0V / ニッケル水素: 1.5V,アルカリ: 9V / ニッケル水素: 3.7V,1,乾電池は1.5V、ニッケル水素は1.2Vが公称値です。,15. 公称電圧,10
82,電池の「電気容量」を表す単位はどれか。,W（ワット）,V（ボルト）,Ah（アンペアアワー）,Hz（ヘルツ）,3,1時間に流せる電流の量を示す「Ah（またはmAh）」が用いられます。,16. 電気容量,10
83,容量4000mAhの電池を、消費電流2A（2000mA）の機器で使用した場合、理論上の使用可能時間はどれか。,約1時間,約2時間,約4時間,約8時間,2,4000mAh÷2000mA=2h です。,16. 容量計算,10
84,電池の残量を表す指標であるSOC (State of Charge) の計算式はどれか。,残存容量 ÷ 実効容量,劣化容量 ÷ 初期容量,電圧 × 電流,実効容量 － 残存容量,1,満充電（実効容量）に対してどれだけ残っているかの割合です。,16. SOC,10
85,電池の劣化状態（健全度）を表す指標であるSOH (State of Health) の説明として正しいものはどれか。,現在の充電残量を表す,新品時の容量に対する現在の実力容量の割合を表す,電池の温度を表す,電池の充電回数を表す,2,新品時（初期）の性能と比較して、現在どの程度性能を維持しているかを示します。,17. SOH,10
86,リチウムイオン電池の取り扱いにおいて、発火や破裂の原因となりうる危険な行為はどれか。,専用充電器での充電,室温での保管,過充電や強い衝撃を与えること,残量がなくなる前に充電すること,3,過充電、衝撃、水没、高温、過放電放置などが事故の原因となります。,17. 安全性,10
87,電気電子回路において、目に見えない電気を計測する主な目的は何か。,部品を温めるため,正しい動作か判断するため,電気を充電するため,ノイズを発生させるため,2,回路が設計通りに動いているかを確認するために計測機器を使用します。,18. 計測機器,11
88,デジタルマルチメータ(DMM)で測定できる項目の組み合わせとして一般的なものはどれか。,電圧・電流・抵抗,温度・湿度・気圧,距離・速度・加速度,脳波・筋電位・心拍,1,基本的なDMMは電圧(V)、電流(A)、抵抗(Ω)を測定します。,18. DMM,11
89,DMMの機能の一つである「導通チェック」とは何を確かめるものか。,電池の残量,回路が電気的に繋がっているか,電圧の高さ,抵抗値の正確さ,2,配線が切れていないか、繋がっているかを確認する機能で、導通時にブザーが鳴るものが多いです。,18. DMM,11
90,オシロスコープがDMMと大きく異なる点は何か。,電圧の「時間変化（波形）」を観測できる,電流を測定できる,抵抗値を測定できる,持ち運びができる,1,DMMは瞬時値（または実効値）の表示ですが、オシロスコープは電圧の時間的変化を波形として表示します。,18. オシロスコープ,11
91,オシロスコープの主な用途として資料に挙げられているものはどれか。,電池の充電,通信信号の電気的検証や交流波形の観測,ロボットの自動操縦,温度の長期記録,2,通信波形や交流信号が正しく出ているか（なまっているか等）を確認するのに使われます。,18. オシロスコープ,11
92,センサとは、自然界の物理量を検出して何に変換するものか。,熱エネルギー,運動エネルギー,電気信号,化学物質,3,物理量（温度、光、力など）を扱いやすい電気信号（電圧など）に変換する素子です。,19. センサ定義,11
93,「測定値 － 真値」で計算される値を何と呼ぶか。,相対誤差,絶対誤差,偏差,公差,2,真値との差そのものを絶対誤差、真値に対する割合を相対誤差と呼びます。,19. 誤差,11
94,真値が10000kgで絶対誤差が100kgの場合、相対誤差は何%か。,0.10%,1%,10%,100%,2,100÷10000×100=1% です。,19. 相対誤差,11
95,電気通信分野における「ノイズ」の説明として正しいものはどれか。,必要な情報信号のこと,信号伝送に被害を与える不要な電圧・電流成分,電源電圧のこと,センサの感度のこと,2,外部や内部から混入し、誤動作や誤差の原因となる不要な信号です。,19. ノイズ,11
96,周囲の明るさを感知するセンサに使われる素子はどれか。,サーミスタ,フォトダイオード・CdSセル,ひずみゲージ,ホール素子,2,光の量によって特性が変化するフォトダイオードやCdSが使われます。,20. 照度センサ,11
97,センサを測定対象に直接触れさせて測る「接触式」の温度センサはどれか。,放射温度計,サーモパイル,サーミスタ・熱電対,焦電型センサ,3,熱電対やサーミスタは接触させて熱平衡状態で測定します。,20. 温度センサ,11
98,非接触式温度センサ（放射温度計など）の計測原理は何か。,物体から放射される熱線（赤外線）を計測する,超音波の反射時間を計測する,空気の膨張を計測する,物体の色を判別する,1,すべての物体は温度に応じた赤外線を放射しており、それを検知します。,20. 温度センサ,11
99,加速度センサが得意とする測定対象はどれか。,物体の回転角,物体の並進運動の加速度や傾斜（重力加速度）,物体の温度,物体の明るさ,2,原理はマスバネ系で、力（加速度）や重力方向（傾き）を検知します。,20. 加速度センサ,11
100,ジャイロセンサが計測する物理量は何か。,速度,加速度,角速度（回転の速さ）,位置,3,単位時間あたりの回転角度（deg/secなど）を計測します。,20. ジャイロセンサ,11
101,ジャイロセンサを用いて角度を算出する際の注意点は何か。,積分するため、長時間の使用で誤差が累積する（ドリフト）,温度変化に反応しない,静止していると値を主力しない,非常に高価である,1,角速度を積分して角度を求めるため、わずかな誤差が積み重なって大きなズレになります。,20. ジャイロセンサ,11
102,ポテンショメータの基本的な原理は何か。,可変コンデンサ,可変抵抗（抵抗値の変化）,可変コイル,圧電素子,2,回転やスライドによって抵抗値が変化することを利用して位置（角度）を計測します。,20. ポテンショメータ,11
103,ひずみゲージはどのような現象を利用してひずみを計測するか。,金属箔が伸び縮みすることで抵抗値が変化する現象,金属を叩くと電気が発生する現象,金属が熱を持つ現象,光を当てると抵抗が変わる現象,1,伸びると断面積が減って抵抗が増え、縮むと抵抗が減る原理を利用します。,21. ひずみゲージ,11
104,エンコーダは主に何を計測するためのセンサか。,圧力,回転角や直線移動距離,明るさ,音の大きさ,2,パルス数をカウントすることで、回転量や移動量を正確に測ります。,21. エンコーダ,11
105,電源を切っても位置情報を保持できる（絶対位置がわかる）エンコーダの方式はどれか。,インクリメンタル方式,アブソリュート方式,パルス方式,アナログ方式,2,アブソリュート（絶対）方式は角度ごとのコードを持っているため、電源再投入時も位置がわかります。,21. エンコーダ方式,11
106,超音波センサで距離 L を求める式はどれか（V:音速、T:往復時間）。,L=V×T,L=(V×T)÷2,L=V÷T,L=V+T,2,音波が往復する時間を計測するため、片道の距離は時間を2で割る必要があります。,21. 超音波センサ,11
107,LiDAR (Light Detection And Ranging) は何を使って距離を測定するか。,超音波,電波,光（レーザー等）の反射,磁気,3,光を照射し、反射して戻ってくるまでの時間等から距離を測定します。,22. LiDAR,11
108,LiDARの特徴として正しいものはどれか。,一点のみの距離しか測れない,平面や3次元的な空間の形状計測が可能である,暗い場所では使えない,透明なガラスの厚みを測るのに最適である,2,スキャンすることで周囲の形状を点群データとして取得できます。,22. LiDARの特徴,11
109,RGB-Dカメラの「RGB」と「D」は何を表しているか。,RGB: 色の三原色、D: Density（密度）,RGB: 赤外線、D: Distance（距離）,RGB: 色の三原色、D: Depth（奥行き・距離）,RGB: 録画形式、D: Digital（デジタル）,3,通常のカラー画像(RGB)に加え、各画素の距離情報(Depth)を取得できるカメラです。,22. RGB-Dカメラ,11
110,インターフェース回路の主な役割として正しいものはどれか。,センサやアクチュエータとマイコンなどの異なる要素間を繋ぐ,マイコンのプログラムを自動生成する,電力を無限に増幅して供給する,デジタル信号を人間が読める文字に変換する,1,電圧や電流、信号形式（アナログ/デジタル）の違いを埋めるための回路です。,23. 基礎,12
111,マイコンの入力端子に何も接続されていない（電源にもGNDにも繋がっていない）状態を何と呼ぶか。,ショート（短絡）,ハイインピーダンス（開放）,ローインピーダンス,オーバーロード,2,端子電圧が不定となり、誤動作の原因となる状態です。,23. 不安定な電圧,12
112,プルアップ抵抗の役割として正しいものはどれか。,電流を遮断して回路を停止させる,端子電圧を電源電圧(VCC)に固定し、信号を安定させる,電圧を0V(GND)に固定し、信号を安定させる,信号の周波数を上げる,2,抵抗を介して電源(VCC)に接続することで、スイッチOFF時の電圧をHレベルに確定させます。,23. プルアップ,12
113,プルアップ抵抗を用いたスイッチ回路において、スイッチをONにした時の入力状態はどうなるか。,Hレベル (VCC),Lレベル (GND),ハイインピーダンス,変化しない,2,スイッチONでGNDと導通するためLレベル(0)、OFF時はプルアップによりHレベル(1)となります。,23. プルアップ論理,12
114,プルダウン抵抗を用いたスイッチ回路の動作として正しいものはどれか。,スイッチONで入力「1」、OFFで入力「0」,スイッチONで入力「0」、OFFで入力「1」,常に「1」が入力される,常に「0」が入力される,1,抵抗を介してGNDに接続するため、OFF時は0(L)、ON時はVCCと繋がり1(H)になります。,24. プルダウン,12
